"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
310455,"ID-0078","small_airport","Keneyan Airstrip",-4.5995,138.3844,449,"AS","ID","ID-PA","Keneyan","no",,,"KEN",,,"WZ41, Kenyem, Kenyam"
310458,"ID-0079","small_airport","Kerapak Airstrip",0.0939,111.9083,157,"AS","ID","ID-KB","Kerapak","no",,,"KRA",,,"WZ42"
310463,"ID-0080","small_airport","Kiwi Airstrip",-4.6975,140.722,5260,"AS","ID","ID-PA","Kiwi","no",,,"KIW",,,
310465,"ID-0081","small_airport","Kobakma Airstrip",-3.66634,139.0592,3195,"AS","ID","ID-PA","Kobakma","no",,,,,,"WZ44"
310468,"ID-0082","small_airport","Komopa Airstrip",-3.7998,136.4775,5822,"AS","ID","ID-PA","Komopa","no",,,"KOM",,,"WZ45"
310470,"ID-0083","small_airport","Koropun Airstrip",-4.4792,139.6494,5900,"AS","ID","ID-PA","Koropun","no",,,"KOR",,,"WZ48"
310474,"ID-0084","small_airport","Kuala Kurun",-1.1277,113.8746,145,"AS","ID","ID-KT","Kuala Kurun","no",,,,,,"WT81"
310478,"ID-0085","small_airport","Kuala Randau Airstrip",-0.5824,110.4728,240,"AS","ID","ID-KB","Kuala Randau","no",,,,,,"WZ54"
310480,"ID-0086","small_airport","Kustera Airstrip",-2.7467,137.92,350,"AS","ID","ID-PA","Kustera","no",,,"KUS",,,"WZ57"
310482,"ID-0087","small_airport","Kwerba Airstrip",-2.6434,138.4087,247,"AS","ID","ID-PA","Kwerba","no",,,"KWE",,,"WZ59"
310484,"ID-0088","small_airport","Kwijawagi",-4.0256,138.2046,9288,"AS","ID","ID-PA","Kwijawagi","no",,,"KWI",,,"WZ60, Kwiyawagi"
311868,"ID-0169","small_airport","Bawean Airport",-5.723676,112.679592,93,"AS","ID","ID-JI","Bawean","yes","WARW","BXW",,,"https://en.wikipedia.org/wiki/Bawean_Airport","Harun Thohir Airport"
311869,"ID-0170","small_airport","Kangean Field",-6.86,115.299,,"AS","ID","ID-JI",,"no",,,,,,
311870,"ID-0171","small_airport","Aideralma Airstrip",-4.3341,137.8316,2730,"AS","ID","ID-PA","Aideralma","no",,,,,,"WX03"
311871,"ID-0172","small_airport","Enggano Airport",-5.31,102.16,,"AS","ID","ID-BE",,"no",,,,,,
41387,"ID-MUF","small_airport","Muting Airport",-7.3147,140.5668,70,"AS","ID","ID-PA","Muting","no",,"MUF",,,,"WW21"
41388,"ID-NAF","small_airport","Banaina Airport",2.72305011749,117.125999451,60,"AS","ID","ID-KU","Banaina-Borneo Island","no",,"NAF",,,,
41391,"ID-OBD","small_airport","Obano Airport",-3.9106,136.2306,5800,"AS","ID","ID-PA","Obano-Papua Island","no","WABR","OBD",,,,
41393,"ID-PPJ","small_airport","Unknown Airport",-0.63333,103.300003,33,"AS","ID","ID-RI","Paritsialing-Sumatra Island","no",,,,,,"Pasanggerahan, Kampungbenteng"
41394,"ID-PUM","small_airport","Pomala Airport",-4.1810898780823,121.61799621582,88,"AS","ID","ID-SG","Kolaka","no","WAWP","PUM",,,,"WAAP"
41395,"ID-PWL","small_airport","Purwokerto Airport",-7.46166992188,109.416999817,225,"AS","ID","ID-JT","Purwokerto-Java Island","no","WICP","PWL",,,"http://en.wikipedia.org/wiki/Purwokerto_Airport","WIAP, Wirasaba, Purbalingga"
41396,"ID-RAQ","small_airport","Sugimanuru Airport",-4.760557,122.569371,132,"AS","ID","ID-SG","Raha-Muna Island","no","WAWR","RAQ",,,"http://en.wikipedia.org/wiki/Sugimanuru_Airport","WAAR"
41397,"ID-RKI","small_airport","Rokot Airport",-0.949999988079071,100.75,4975,"AS","ID","ID-SB","Rokot-Sumatra Island","no",,"RKI",,,,
41398,"ID-RTI","small_airport","Roti Airport",-10.484299659729004,123.3740005493164,65,"AS","ID","ID-NT","Roti-Rote Island","no",,"RTI",,,,
41399,"ID-RUF","small_airport","Yuruf Airport",-3.6333,140.958,1844,"AS","ID","ID-PA","Amgotro","no","WAJE","RUF",,,,
41400,"ID-RZS","small_airport","Sawan Airport",-8.132780075073242,115.1729965209961,680,"AS","ID","ID-BA","Sawan-Bali Island","no",,"RZS",,,,
41401,"ID-SAE","small_airport","Sangir Airport",-8.366669654846191,118.33335876464844,175,"AS","ID","ID-NB","Sangir-Simbawa Island","no",,"SAE",,,,
41402,"ID-TBM","small_airport","Tumbang Samba Airport",-1.4694,113.0833,160,"AS","ID","ID-KT","Tumbang Samba-Borneo Island","yes","WAOW","TBM",,,"http://id.wikipedia.org/wiki/Bandar_Udara_Tumbang_Samba","WRBW"
41403,"ID-TMY","small_airport","Tiom Airport",-3.9256,138.4555,6931,"AS","ID","ID-PA","Tiom-Papua Island","no",,"TMY","TMI",,,
3266,"ID-WA19","small_airport","Pagerungan Airport",-6.956610202789999,115.930999756,20,"AS","ID","ID-JI","Pagerungan Island","no",,,,,,"West Java Islands, Pagerungan Besar, Torohhiga"
3271,"ID-WA98","small_airport","Kobok Airport",1.101889967918396,127.7030029296875,114,"AS","ID","ID-MU","Modjid-Celebes Island","no","WA98",,"WA98",,,
41408,"ID-ZEG","small_airport","Senggo Airport",-5.6908,139.3502,52,"AS","ID","ID-PA","Senggo-Papua Island","no","WAKQ","ZEG",,,"http://id.wikipedia.org/wiki/Bandar_Udara_Senggo",
29639,"ID-ZGP","medium_airport","Bilogai-Sugapa Airport",-3.73956,137.031998,7348,"AS","ID","ID-PA","Sugapa-Papua Island","yes","WABV","UGU","ZGP",,,"Zugapa, Bilorai, ZGP"
319816,"JIO","small_airport","Jos Orno Imsula Airport",-8.13911,127.9075,43,"AS","ID","ID-MA","Tiakur","yes",,"JIO",,,"https://en.wikipedia.org/wiki/Jos_Orno_Imsula_Airport","Moa Island, Leti Islands"
44572,"KMM","small_airport","Kimaam Airport",-7.9781999588,138.852005005,26,"AS","ID","ID-PA","Kimaam","no",,"KMM",,,,"Kimam, Kimaan, Kiman"
330319,"MOH","small_airport","Maleo Airport",-2.203333,121.660278,12,"AS","ID","ID-ST","Morowali","yes",,"MOH","MOH","https://en.wikipedia.org/wiki/Maleo_Airport","https://en.wikipedia.org/wiki/Maleo_Airport",
311151,"NKD","small_airport","Sinak Airport",-3.822,137.8406,7334,"AS","ID","ID-PA","Sinak","no",,"NKD","SIN",,,"WT10"
3268,"WA1B","small_airport","Aru Airport",-6.57342004776001,134.14700317382812,165,"AS","ID","ID-MA","Fekfetal / Jerdera-Trangan Island","no","WA1B",,"WA1B",,,
3270,"WA44","small_airport","Maranggo Airport",-5.7645702362061,123.91699981689,169,"AS","ID","ID-SG","Waha-Tomea Island","no","WA44","TQQ","WA44",,"https://id.wikipedia.org/wiki/Bandar_Udara_Maranggo",
26745,"WAAA","large_airport","Hasanuddin International Airport",-5.061629772186279,119.55400085449219,47,"AS","ID","ID-SN","Ujung Pandang-Celebes Island","yes","WAAA","UPG",,,"http://en.wikipedia.org/wiki/Hasanuddin_International_Airport",
41409,"WAAG","small_airport","Malimpung Airport",-3.7382,119.7502,124,"AS","ID","ID-SN","Malimpung-Celebes Island","no","WAWG",,,,,"WAAG"
